,greedy,classic
14597,61066.26545445058,56777.23353892754
14598,62099.35598645328,58118.91843469202
14599,64203.82432142001,60376.759041809964
14600,62502.31733580657,58910.018342366595
14601,60353.97902822768,57319.845639043335
14602,59020.41014505941,56463.0034270386
14603,58620.72841860401,56024.63621564109
14604,56762.0289779172,54695.22203273299
14605,55112.237258986934,53216.87196831312
14606,52940.51520794512,51481.49807082386
14607,49359.3391379351,48179.79653815451
14608,50217.747493764335,49088.64289587215
14609,48331.73644339616,47416.994235914404
14610,46647.6275486904,45988.89668164535
14611,37120.71782364931,37351.490248746784
14612,38304.0626053388,38467.85471006669
14613,39216.86868013446,39275.65944815017
14614,40262.083846570655,40235.6968964317
14615,42022.90059211364,41801.23183922369
14616,43184.442904458905,42885.56475192028
14617,42043.76985881221,41816.38061977649
14618,42565.367386488826,42219.41134049978
14619,45045.89333428998,44513.23965324644
14620,50282.12401325792,49363.79191025633
14621,54815.84380495659,53356.570281251865
14622,51216.07964275287,50023.6591813286
14623,51676.44077708472,50155.39382819712
14624,50579.207369363314,48974.766199395315
14625,50440.939365461476,48716.438695490615
14626,60600.90121626293,57176.93815975991
14627,60872.254846720396,57434.342213341966
14628,57485.49394023184,54772.893520564736
14629,61483.437235775804,58176.387228780804
14630,49935.61535496058,48481.18750150534
14631,51973.715335618785,50285.56038530803
14632,52935.80807858776,51111.72413144434
14633,54690.20961774934,52520.79279725437
14634,47155.90342143682,46103.4522194093
14635,42674.89704739765,42231.01875557884
14636,46782.8969168697,45853.39089988793
14637,46967.182400903774,46106.903720381015
14638,49894.98738501349,48732.346487478644
14639,48539.69842364576,47687.103646709285
14640,43965.56666276646,43515.74782550957
14641,40491.92530471288,40350.50865210107
14642,41092.64357089111,40890.29209947593
14643,38360.887215260256,38429.14425296811
14644,35903.546587490106,36209.845377599835
14645,34967.515964423445,35331.760922386195
14646,35876.056192289936,36175.78891590481
14647,36957.09714308777,37176.64446523935
14648,42455.39399219254,42195.91661376385
14649,38970.65005089512,39016.58307640392
14650,38946.560416877146,38981.19086093409
14651,41758.791318463445,41489.572690645975
14652,40626.53521234633,40492.77248437127
14653,39329.14933327451,39338.20327517915
14654,39011.96608883346,39021.09671780907
14655,38783.27500579524,38793.40159372364
14656,40072.66038421252,39878.614993362076
14657,43395.31335285101,42717.75352470786
14658,46409.56813719667,45247.109063364136
14659,44664.06183818302,43730.21718190837
14660,43719.62536308648,42928.89733610372
